Year ,households,Cereals ,Fish&shellfish ,Meat ,Vegetables&seaweeds ,Meals_outside,Electricity ,Gas ,Water,Clothing ,Footwear ,Medicines ,School ,Tobacco 
1963,5541,3834,1834,1249,2003,1018,1261,0,167,0,0,329,1182,442
1964,5544,3894,2044,1446,2068,1113,1417,0,191,0,0,401,1423,457
1965,5568,4259,2252,1603,2346,1226,1602,0,217,0,0,387,1700,469
1966,5593,4267,2412,1800,2446,1338,1758,0,248,0,0,389,1784,485
1967,7862,4275,2623,1984,2702,1517,1122,761,272,1575,523,426,1867,518
1968,7825,4472,2875,2188,2792,1783,1199,825,308,1746,559,458,1877,609
1969,7857,4487,3092,2460,2966,2072,1314,893,351,1978,609,503,1791,697
1970,7873,4526,3577,2729,3611,2413,1467,1009,389,2280,657,536,1852,688
1971,7886,4550,4023,3032,3792,2663,1658,1180,443,2551,712,532,2007,706
1972,7665,4606,4349,3436,3939,3101,1775,1296,493,3046,779,569,2129,775
1973,8050,4965,4831,4167,4837,3625,1941,1521,551,3767,924,620,2449,803
1974,8048,6031,6225,5005,6051,4443,2256,2049,591,4481,1167,680,3038,885
1975,8016,7038,7186,5882,6406,5174,2803,2608,718,5258,1253,836,3585,1073
1976,8050,7815,8029,6591,7197,5877,2978,2911,1032,5999,1363,918,4256,1158
1977,7963,8406,8657,6807,7337,6520,3653,3245,1187,6094,1530,923,5029,1312
1978,7977,8595,9024,7077,7390,7215,3997,3358,1344,6349,1622,994,5465,1317
1979,7983,8618,9275,7204,7657,7952,4068,3514,1470,6751,1688,1059,5911,1281
1980,7992,9196,9682,7533,8591,8467,5177,4594,1603,6878,1837,1148,6585,1451
1981,7965,9526,9897,7724,8688,8903,6251,5157,1816,6781,1823,1251,6876,1449
1982,7981,9737,10369,8007,8588,9593,6349,5237,2131,6942,1860,1384,7475,1480
1983,7984,9823,10268,7859,8997,10018,6660,5257,2258,7133,1859,1500,7369,1504
1984,7986,9956,10153,7911,9200,10143,7114,5598,2529,7037,1871,1460,8112,1506
1985,7985,9990,10325,7891,9161,10427,7339,5603,2783,7531,1929,1505,8040,1478
1986,7987,9991,10326,7849,9010,10932,7265,5547,2879,7679,1893,1485,8326,1535
1987,7993,9563,10290,7695,8885,11104,7099,5132,2956,7757,1945,1560,8993,1472
1988,7983,9108,10193,7540,9434,11687,7043,5127,3024,8451,1970,1684,9382,1346
1989,7976,9185,10270,7608,9370,11858,7018,5062,3190,8714,2052,1834,9941,1289
1990,7976,9121,10551,7785,10089,12349,7436,5141,3350,9314,2143,2032,10592,1248
1991,7976,9276,10996,7949,10835,12823,7664,5459,3466,9732,2223,2125,10256,1176
1992,7962,9397,11211,7881,10437,13004,7947,5618,3587,9517,2232,2306,11218,1116
1993,7962,9699,10758,7516,10602,12994,8100,5753,3781,9012,2140,2365,10802,1170
1994,7960,9550,10023,7173,10267,12820,8787,5548,3933,8446,2068,2448,11365,1126
1995,7923,8548,9880,7108,9931,12643,8989,5641,4029,7942,1927,2360,11104,1119
1996,7927,8271,9598,6878,9866,12786,9006,5835,4152,7834,1957,2366,11037,1065
1997,7935,8108,9633,7142,9862,13131,9348,5999,4426,7746,2037,2442,11263,1116
1998,7941,7921,9435,6951,10429,12844,9267,5992,4634,7064,1868,2519,10953,1178
1999,7901,7715,8987,6772,9642,12802,9245,5873,4655,6916,1863,2646,9814,1155
2000,7803,7319,8594,6496,9048,12448,9555,5920,4781,6284,1752,2633,10380,1197
2001,7782,7002,8246,6046,8852,11924,9293,5908,4819,5971,1671,2897,9686,1129
2002,7769,6928,8077,6021,8774,12008,9274,5744,4866,5704,1696,2881,9787,1072
2003,7747,7029,7654,5992,8677,11743,9021,5819,4879,5478,1545,3044,10296,1074
2004,7742,7024,7363,6011,8714,11813,9252,5586,5016,5257,1495,3081,10284,1014
2005,7766,6515,7198,6070,8377,11634,9151,5604,5026,5122,1537,3252,9607,1052
2006,7743,6326,7129,6041,8388,11517,9365,5804,5022,5065,1476,2914,9567,1006
2007,7718,6378,7095,6157,8315,11665,9163,5694,5046,5082,1522,2874,9690,1025
2008,7707,6628,6861,6507,8299,11821,9737,6006,5052,4916,1537,2862,9910,1034
2009,7719,6695,6642,6343,8187,11600,9574,5749,5012,4662,1551,3135,9966,990
2010,7728,6421,6349,6125,8288,11523,9783,5552,5066,4487,1475,3502,8843,1012
2011,7592,6344,6145,6214,8121,11106,9528,5481,5093,4274,1474,3482,8778,1036
2012,7691,6389,6025,6091,8078,11401,10153,5703,5099,4322,1485,3572,8731,1042
2013,7697,6275,6114,6393,8226,11899,10645,5606,5175,4601,1577,3561,8573,1046